uid_a,uid_b,name_a,name_b,comid,sep_m,on_channel,channels_a,channels_b,shared_days,r,median_diff,area_a_km2,area_b_km2,agree_a,agree_b,proposed,seam,evidence
USGS:404200073034301,USGS:404213073041801,"Great South Bay 8 near Browns River, NY","Great South Bay 7 near Browns River, NY",9500240,909.54,water_temp,water_temp+diss_oxy,water_temp+diss_oxy,160.0,0.9989,-0.1307,,,,,weak_evidence,,shared_comid+records+source_area
USGS:401350073594801,USGS:401352074002701,Atlantic Oc in Deal Lk surge chmbr at Asbury Pk NJ,Deal Lake 150 ft east of Main St at Interlaken NJ,6261966,914.51,spec_cond,water_temp+spec_cond+diss_oxy+ph,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,15.0,-0.4679,2495.3774,,,True,True,distinct,,shared_comid+records+source_area
USGS:02481960,USGS:02481961,"WOLF CREEK AT INDUSTRIAL DRIVE NR PEARL RIVER, MS","WOLF CREEK NEAR PEARL RIVER, MS",15788018,922.26,spec_cond,discharge+gage_height+water_temp+spec_cond+diss_oxy+ph,water_temp+spec_cond+diss_oxy+ph,4.0,,-200.8229,19.683908799999998,21.31560124,True,True,distinct,,shared_comid+records+source_area
USGS:0136223095,USGS:01362232,BROADST HOLLOW BR AT BROADST HLW RD AT ALLABEN NY,BROADSTREET HOLLOW BROOK AT HWY28 AT ALLABEN NY,6189630,923.73,turbidity_fnu,turbidity_fnu,discharge+gage_height+water_temp+turbidity_fnu,432.0,0.9343,-0.5076,,23.72429008,True,True,weak_evidence,,shared_comid+records+source_area
USGS:03312900,USGS:03313000,"BARREN RIVER LAKE NEAR FINNEY, KY","BARREN RIVER NEAR FINNEY, KY",4036902,924.1,,gage_height,water_temp,,,,2439.768696,2439.768696,False,True,distinct,,shared_comid+records+source_area
USGS:01118500,USGS:01118502,"PAWCATUCK RIVER AT WESTERLY, RI","PAWCATUCK RIVER SOUTH OF ROUTE 1 AT PAWCATUCK, CT",6140952,937.85,spec_cond,discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fchl,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fchl,163.0,0.7935,-5.9167,761.456472,766.636448,True,True,distinct,,shared_comid+records+source_area
USGS:01362356,USGS:01362358,WARNER CREEK AT SILVER HOLLOW RD NR CHICHESTER NY,WARNER CREEK AT CHICHESTER NY,6189748,941.92,turbidity_fnu,turbidity_fnu,turbidity_fnu,475.0,0.9891,-0.788,22.2738968,23.309891999999998,True,True,weak_evidence,,shared_comid+records+source_area
IWQIS:WQS0098,USGS:05484900,Raccoon River at Des Moines (98RRDMWW),"Raccoon River at Fleur Drive at Des Moines, IA",6610140,942.59,,water_temp+turbidity_unknown,discharge,,,,2.589988,9388.7065,True,True,distinct,,shared_comid+records+source_area
USGS:05414850,USGS:424253090232100,"GALENA R.-U.W. PLATTEVILLE FARMS-NR PLATTEVILLE,WI","U.W. PLATTEVILLE FARMS SITE 11 NR PLATTEVILLE, WI",13356858,943.03,discharge,discharge,discharge,227.0,0.0111,0.2213,7.61456472,0.0137269364,True,True,distinct,,shared_comid+records+source_area
USGS:05532600,USGS:414757087490401,"DES PLAINES RIVER AT LYONS, IL","SUMMIT CONDUIT AT SUMMIT, IL",14786231,944.14,gage_height,gage_height,discharge+gage_height,0.0,,,1635.8364208,,True,True,sequential,2013-02-27..2013-10-20,shared_comid+records+source_area
USGS:054279465,USGS:05427948,"S FORK PHEASANT BRANCH @ DEMING WAY @ MIDDLETON,WI","PHEASANT BRANCH AT MIDDLETON, WI",13294264,952.79,discharge,discharge,discharge+gage_height+water_temp,5468.0,0.0136,-0.1061,15.85072656,47.396780400000004,True,True,distinct,,shared_comid+records+source_area
USGS:391035084344300,USGS:391104084343000,East Branch Shepherd Creek near Mt Airy OH,"Unnamed Drainage at Ponderosa Dr, Mt Airy OH",3405159,954.28,discharge,discharge,discharge,1003.0,0.3943,0.0003,0.36259832000000003,,True,True,distinct,,shared_comid+records+source_area
USGS:05428000,USGS:05428500,"LAKE MENDOTA AT MADISON, WI","YAHARA RIVER AT EAST MAIN STREET AT MADISON, WI",13293750,974.59,gage_height,gage_height,discharge+gage_height,996.0,0.8638,1.2771,603.467204,608.6471799999999,False,True,weak_evidence,,shared_comid+records+source_area
USGS:01407639,USGS:401349074000601,Harvey Brook US Corlies Av at Allenhurst NJ,Deal lake DS of Park Ave at Asbury Park NJ,6261966,978.63,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,0.0,,,,,True,True,sequential,2023-04-04..2023-09-12,shared_comid+records+source_area
USGS:401336074002901,USGS:401350073595201,Sunset Lake outlet at Bond St at Asbury Park NJ,Deal Lake at Flume House at Asbury Park NJ,6261966,979.45,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,15.0,0.5116,-3405.2072,,,True,True,distinct,,shared_comid+records+source_area
USGS:401913089534501,USGS:401934089541702,22N7W-28.5a (IL Tree Nursery),22N7W-29.1d2 (SH-1),13606720,1000.45,nitrate,nitrate+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,nitrate,1013.0,-0.027,12.3,,,True,True,distinct,,shared_comid+records+source_area
USGS:401913089534501,USGS:401934089541701,22N7W-28.5a (IL Tree Nursery),22N7W-29.1d1 (DP-1),13606720,1002.47,nitrate,nitrate+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,nitrate,1240.0,-0.3113,15.0,,,True,True,distinct,,shared_comid+records+source_area
USGS:01119382,USGS:01119384,"WILLIMANTIC RIVER AT MERROW RD. NEAR MERROW, CT","WILLIMANTIC RIVER NEAR MANSFIELD DEPOT, CT",6162555,1004.6,discharge,discharge,discharge,41.0,0.9912,-0.1614,249.4158444,253.818824,True,True,distinct,,shared_comid+records+source_area
USGS:05568703,USGS:401913089534501,"MASON TAZEWELL DRAINAGE D NR NURSERY NR TOPEKA, IL",22N7W-28.5a (IL Tree Nursery),13606720,1008.82,,gage_height,nitrate+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,,,,440.8159576,,True,True,distinct,,shared_comid+records+source_area
USGS:05515500,USGS:412354086421005,"KANKAKEE RIVER AT DAVIS, IN","KANKAKEE WELL FIELD SH-3 NEAR HANNA, IN",13433691,1013.02,nitrate,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fchl+fpc,nitrate,1027.0,0.0872,-1.98,1403.773496,,True,True,distinct,,shared_comid+records+source_area
USGS:05515500,USGS:412354086421006,"KANKAKEE RIVER AT DAVIS, IN","KANKAKEE WELL FIELD WT-3 NEAR HANNA, IN",13433691,1013.02,nitrate,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fchl+fpc,nitrate,806.0,0.0741,-8.195,1403.773496,,True,True,distinct,,shared_comid+records+source_area
USGS:431533076582101,USGS:431601076584701,SODUS BAY AT SAND POINT NY,LAKE ONTARIO AT SODUS BAY NY,21632333,1016.2,,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fdom+fchl+fpc,orthophosphate,,,,,,True,True,distinct,,shared_comid+records+source_area
USGS:401347074003501,USGS:401350073595201,Deal lake at Railroad Bridge at Asbury Park NJ,Deal Lake at Flume House at Asbury Park NJ,6261966,1022.72,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,21.0,0.477,-2982.6042,,,True,True,distinct,,shared_comid+records+source_area
USGS:0136235580,USGS:01362356,WARNER CREEK IN SILVER HOLLOW NEAR CHICHESTER NY,WARNER CREEK AT SILVER HOLLOW RD NR CHICHESTER NY,6189748,1048.82,turbidity_fnu,turbidity_fnu,turbidity_fnu,2973.0,0.8712,-0.0506,18.80331288,22.2738968,True,True,weak_evidence,,shared_comid+records+source_area
USGS:401336074002901,USGS:401350073594801,Sunset Lake outlet at Bond St at Asbury Park NJ,Atlantic Oc in Deal Lk surge chmbr at Asbury Pk NJ,6261966,1048.95,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,water_temp+spec_cond+diss_oxy+ph,16.0,0.2001,-8534.1745,,,True,True,distinct,,shared_comid+records+source_area
USGS:04174490,USGS:04174500,"ALLEN CREEK AT MOUTH AT ANN ARBOR, MI","HURON RIVER AT ANN ARBOR, MI",13176035,1057.11,discharge,discharge,discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,5069.0,0.117,-12.7247,,1888.101252,False,True,distinct,,shared_comid+records+source_area
USGS:01362349,USGS:01362350,STONY CLOVE CR ABOVE MOGGRE RD NEAR CHICHESTER NY,STONY CLOVE CREEK AT CHICHESTER NY,6189746,1058.04,turbidity_fnu,turbidity_fnu,turbidity_fnu,1094.0,0.881,-2.4042,42.475803199999994,45.32479,True,True,weak_evidence,,shared_comid+records+source_area
USGS:05590520,USGS:394803088215001,"KASKASKIA RIVER BELOW FICKLIN, IL","KASKASKIA RIVER INFLOW AT FICKLIN, IL",13770104,1072.25,gage_height,discharge+gage_height,gage_height,4965.0,0.4616,-1.4051,322.14270744,,True,True,weak_evidence,,shared_comid+records+source_area
USGS:0205373228,USGS:0205373422,"BOTTOM CREEK ABOVE CONFLUENCE NR BENT MOUNTAIN, VA","BOTTOM CREEK BL POOR MTN RD NEAR BENT MOUNTAIN, VA",8628769,1087.54,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,2578.0,0.9767,-4.201,5.38717504,8.90955872,True,True,distinct,,shared_comid+records+source_area
