Row,site_uid,decision,decided_by,note,question,station_name,site_type,site_type_source,site_type_conflict,ambiguity,snap_status,snap_dist_m,source
112,USGS:01465905,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","South Branch Rancocas Creek at Lumberton, NJ",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,16.26,USGS
113,USGS:014670261,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Delaware River at Pennypack Woods PA,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,335.65,USGS
114,USGS:01467081,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",South Branch Pennsauken Creek at Cherry Hill NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,27.39,USGS
115,USGS:01467150,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Cooper River at Haddonfield NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,25.56,USGS
116,USGS:01473800,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","Schuylkill River at Manayunk, Philadelphia, PA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,24.96,USGS
117,USGS:01474501,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","Schuylkill River near 30th St at Philadelphia, PA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,57.83,USGS
118,USGS:01474703,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","Delaware River at Fort Mifflin at Philadelphia, PA",stream,usgs_site_type,nhd_tidal,conflict_tidal,far,616.85,USGS
119,USGS:01475553,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","Darby Creek at 84th St Bridge at Eastwick,PA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,20.24,USGS
120,USGS:01477120,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Raccoon Creek near Swedesboro NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,2.83,USGS
121,USGS:01477200,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","Delaware River at Marcus Hook, PA",stream,usgs_site_type,nhd_tidal,conflict_tidal,far,584.46,USGS
