site_uid,n,lifespan_yr,sparsity,mean,med,std,vmin,vmax,pct_neg,pct_out,ac1,noise,roughness,spike_rate,flatline_frac,seg_noise,seg_flat,seasonal_coherence,z_mean,z_std,z_noise,z_ac1,z_seasonal_coherence,z_flatline_frac,z_seg_noise,z_seg_flat,known_bad,in_manifest
WQS0050,596779.0,9.259,0.9692,6.617,6.32,5.705,0.11,35.28,0.0,0.0,0.9978,0.0664,0.0667,0.2,4.09,1.3987,0.2535,0.8781416492423498,0.09,1.38,0.27,-0.36,0.82,0.04,1.47,1.48,False,True
WQS0051,667324.0,9.781,0.9629,8.393,8.8,6.048,0.11,26.07,0.0,0.0,0.9986,0.0526,0.045,0.161,2.65,1.2891,0.052,0.9749489241152295,0.75,1.58,-0.05,0.05,1.1,-0.37,1.23,-0.45,False,True
WQS0052,57808.0,1.029,0.9868,2.708,2.64,1.13,0.12,5.67,0.0,0.0,0.9994,0.0355,0.0101,0.0,3.15,0.202,0.063,-0.11573049057117232,-1.35,-1.25,-0.45,0.47,-2.08,-0.23,-1.12,-0.35,False,True
WQS0053,714639.0,9.787,0.9809,8.264,7.03,6.246,0.11,31.07,0.0,0.0,0.9999,0.0126,0.0136,0.008,12.22,0.552,0.12,0.8988744938013954,0.7,1.69,-0.98,0.73,0.88,2.33,-0.36,0.2,False,True
WQS0054,640494.0,9.653,0.9397,13.274,13.43,6.005,0.11,36.98,0.0,0.0,0.9995,0.0326,0.0358,0.065,6.91,0.6324,0.07,0.8862310898713192,2.55,1.55,-0.52,0.52,0.84,0.83,-0.19,-0.28,False,True
WQS0055,251918.0,9.653,0.9834,15.585,16.91,8.011,0.11,49.98,0.0,0.168,0.9952,0.0985,0.1699,0.799,1.61,0.9425,0.033,0.8932961822466294,3.4,2.7,1.01,-1.71,0.86,-0.67,0.48,-0.63,False,True
WQS0056,224113.0,9.653,0.9134,15.356,15.65,6.615,0.11,49.83,0.0,0.02,0.9952,0.0975,0.1588,0.657,2.34,0.9995,0.09,0.4026605429661031,3.31,1.9,0.99,-1.71,-0.57,-0.46,0.61,-0.09,False,True
WQS0058,201980.0,4.096,0.8131,4.536,4.45,2.628,0.11,25.97,0.0,0.0,0.9976,0.0686,0.0353,0.052,7.85,0.7025,0.3165,0.85985982111798,-0.67,-0.39,0.32,-0.47,0.77,1.1,-0.04,2.09,False,True
WQS0059,127139.0,3.633,0.4699,1.082,0.75,0.88,0.11,4.38,0.0,0.0,0.9993,0.0384,0.0125,0.003,15.05,1.3911,0.098,0.38855640174928285,-1.95,-1.39,-0.38,0.42,-0.61,3.13,1.45,-0.01,False,True
WQS0060,49046.0,0.561,0.8514,1.125,1.1,0.705,0.11,4.7,0.0,0.0,0.9999,0.0166,0.005,0.0,12.93,0.2428,0.0955,0.5372307470817876,-1.93,-1.49,-0.89,0.73,-0.18,2.54,-1.03,-0.03,False,True
WQS0061,306145.0,7.642,0.8612,6.056,6.55,3.107,0.11,25.97,0.0,0.0,0.9863,0.1655,0.1387,0.598,0.92,1.4134,0.022,0.1739798273818652,-0.11,-0.11,2.57,-6.33,-1.24,-0.86,1.5,-0.74,False,True
