site_uid,n_samples,lifespan_yr,mean,std,vmax,pct_out,ac1,noise,spike_rate,flatline_frac,longest_flat_days,seg_noise,seg_flat,n_scrubbed,seasonal_strength,seasonal_coherence,range_violation,dead_autocorr,extreme_noise,noisy,scale_outlier,flatline_heavy,seg_bad,aseasonal,score,flagged,signals,station_name,n_nitrate_days
USGS:05484000,262658,10.444,5.512,3.629,15.3,0.0,0.9999,0.012,0.001,53.88,3.07,0.3369,0.1475,0,0.27581589280322216,-0.10035401664059301,False,False,False,False,False,True,False,False,5.95,True,flatline_heavy,"South Raccoon River at Redfield, IA",2781
USGS:411955088280601,37348,1.869,1.994,1.49,10.4,0.0,0.9979,0.0641,0.008,46.78,3.99,0.6219,0.192,0,0.6267194706611181,0.2590802298902248,False,False,False,False,False,True,False,False,5.73,True,flatline_heavy,"HANSON GRAVEL PIT AT CULVERT NEAR MORRIS, IL",390
USGS:05446500,263829,11.132,3.749,1.257,13.5,0.0,0.9981,0.0619,0.003,47.05,3.94,0.4151,0.1895,0,0.15596773644678275,0.8672429596567841,False,False,False,False,False,True,False,False,5.67,True,flatline_heavy,"ROCK RIVER NEAR JOSLIN, IL",2794
USGS:07052500,98985,2.898,2.108,1.014,6.5,0.0,0.9995,0.0312,0.0,48.52,1.7,0.236,0.082,0,0.513459973746067,0.09837618188597595,False,False,False,False,False,True,False,False,5.12,True,flatline_heavy,"James River at Galena, MO",1035
IWQIS:WQS0046,676228,9.976,5.814,3.548,19.93,0.0,0.9998,0.0194,0.007,6.46,5.47,0.5136,0.7875,0,0.19644595800935816,0.07623329017563926,False,False,False,False,False,False,True,False,5.0,True,seg_bad,Walnut Creek at Prairie City,2534
IWQIS:WQS0043,439375,10.146,10.887,6.142,41.19,0.0,0.9991,0.0416,0.088,1.28,2.64,0.9084,0.3805,0,0.005196877021032775,-0.24525078243713022,False,False,False,False,False,False,False,True,4.85,True,aseasonal,Floyd River at James,1657
IWQIS:WQS0056,224111,9.018,15.356,6.615,49.83,0.0,0.9952,0.0975,0.657,2.32,1.86,0.9976,0.09,0,0.02760472123037805,-0.40632581639176557,False,False,False,False,False,False,False,True,4.76,True,aseasonal,"Drainage tile, Tipton Creek at Sherman",2198
IWQIS:WQS0026,257226,3.641,0.957,0.682,4.118,0.0,0.9992,0.0395,0.0,16.69,2.73,0.4873,0.393,0,0.026706582837303983,0.5752535375415473,False,False,False,False,False,False,False,True,4.55,True,aseasonal,Catfish Creek at Dubuque,948
IWQIS:WQS0066,390905,8.408,4.565,3.295,21.16,0.0,0.9956,0.0937,0.202,3.09,0.7,1.4736,0.1,0,0.011411702088665931,0.16293673332323852,False,False,False,False,False,False,False,True,4.54,True,aseasonal,Monona-Harrison Ditch at Little Sioux,1440
IWQIS:WQS0064,340649,8.479,5.646,3.506,35.92,0.0,0.9944,0.1062,0.222,10.01,1.28,1.044,0.1455,0,0.0100874616118094,0.3539258029239583,False,False,False,False,False,False,False,True,4.39,True,aseasonal,Upper Iowa River at Dorchester,1387
USGS:0167300055,47082,3.831,0.675,0.276,2.7,0.0,0.9896,0.1444,0.0,2.24,0.67,0.3937,0.0325,0,0.0047317315856039155,0.11937866338756835,False,False,False,False,False,False,False,True,3.82,True,aseasonal,"MECHUMPS CREEK AT HILL CARTER PKWY AT ASHLAND, VA",549
USGS:06892350,380934,13.178,0.862,0.625,9.98,0.0,0.9975,0.0707,0.0,2.62,1.66,1.1061,0.08,0,0.02346304650654829,0.511197871089649,False,False,False,False,False,False,False,True,3.24,True,aseasonal,"KANSAS R AT DESOTO, KS",4093
IWQIS:WQS0076,242154,4.653,0.454,0.35,4.52,0.0,0.996,0.0892,0.001,10.53,0.49,0.6774,0.071,0,0.004719705106111749,-0.04196870646098242,False,False,False,False,False,False,False,True,3.17,True,aseasonal,Drainage Ditch at Coralville,910
IWQIS:WQS0040,453140,10.097,6.044,3.779,49.7,0.0,0.9981,0.0621,0.096,1.9,1.42,0.888,0.1825,0,0.04621493948468469,0.18058918556143821,False,False,False,False,False,False,False,True,2.68,True,aseasonal,Boyer River at Logan,1631
IWQIS:WQS0080,373836,4.654,9.371,11.479,50.0,0.0,1.0,0.0084,0.024,7.17,0.65,0.6305,0.0945,0,0.014831527544038048,0.2945174927195407,False,False,False,False,True,False,False,True,2.06,True,"scale_outlier, aseasonal",Saturated Buffer at Adair,1320
USGS:05536356,155893,4.665,5.95,2.232,16.7,0.0,0.9994,0.0346,0.001,7.74,2.35,0.15,0.1125,0,0.006619247078124779,0.105548851865807,False,False,False,False,False,False,False,True,1.65,True,aseasonal,"GRAND CALUMET RIVER AT COLUMBIA AV AT HAMMOND, IN",1647
USGS:01632900,442664,14.39,2.539,0.755,7.05,0.0,0.9995,0.032,0.0,5.04,0.82,0.3315,0.04,0,0.045445406449846404,0.43448963068958146,False,False,False,False,False,False,False,True,1.15,True,aseasonal,"SMITH CREEK NEAR NEW MARKET, VA",4859
