publishes_under,comid,GenID,dist_m
SNR-0D7W,2441130,2441130,22.44551145265805
SNR-0CWG,2463105,2463133,2.0455176284409586
SNR-0CTS,2462135,2462227,1115.6528949757585
SNR-0CPM,2465255,2465295,343.58825066485485
SNR-0CRJ,2465119,2465137,5.257375005004074
SNR-0CT1,7014389,7014315,15.949756821183191
SNR-0CRM,7014505,7014461,2.4867344052795746
SNR-0CT4,7015259,7015225,11.692813903261655
SNR-0D0N,6581018,6580984,18.74554498059502
SNR-0CWB,7222694,7222694,10.147596576692463
SNR-0CS7,7240575,7240489,21.575263896108027
SNR-09U3,5878685,5879555,3066.241563660894
SNR-0AFN,7699970,7700900,60.946233540457726
SNR-09JK,7701224,7701190,143.35546022076934
SNR-094C,7703054,7703054,228.09171841708203
SNR-08TA,9495338,9495338,104.5436432695361
SNR-08F6,9496582,9496604,35.19240949232352
SNR-07W2,9500598,9500598,995.1805880914792
SNR-08DY,6251122,6251122,8.808397855931927
SNR-06XP,9453743,9453743,23.73458584005017
SNR-07RQ,2588507,2588501,10.124770181311233
SNR-07B8,2590277,2590259,167.46222170401938
SNR-06V0,4495952,4495952,277.53503743543183
SNR-07R4,4779075,4780535,8.933275133524706
SNR-06WJ,4784831,4782633,91.48653423540127
SNR-06OC,166754167,4496300,631.5916506513695
SNR-04ZZ,8391580,8391532,9.871125797336207
SNR-05FR,9407484,9406176,37.22676360591361
SNR-05SV,4765418,4765418,44.87869349010276
SNR-09XZ,4198044,4198074,19.511815082322578
SNR-08IN,8140394,8139564,2.4865580845277218
SNR-07GX,4709174,4709038,2.327559490387335
SNR-078Q,4709876,4709566,36.548200800092005
SNR-07BH,4709486,4710068,1106.9664948347452
SNR-06QE,4727413,4727497,1798.8141635393356
SNR-0745,4722109,4722109,11.772410703002247
SNR-0720,4721533,4726675,29.681784808453457
SNR-072P,4721493,4721493,7.5345846743138285
SNR-070N,4722265,4722225,92.51656285310567
SNR-06ZP,4721831,932050216,0.08928818729862134
SNR-06UT,4726071,4724709,36.93632000694406
SNR-07E8,4720655,4720663,10.278275855037569
SNR-06KI,4726191,4725431,14.376855088896763
SNR-06AE,4731587,4725951,318.3596250636844
SNR-05U7,11690182,11690182,256.0098458008174
SNR-05CS,11907762,11907762,4.19972948520942
