Row,site_uid,decision,decided_by,note,criterion_version,question,station_name,site_type,site_type_source,site_type_conflict,ambiguity,snap_status,snap_dist_m,source
57,USGS:01410150,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",East Branch Bass River near New Gretna NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,45.03,USGS
58,USGS:01410500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Absecon Creek at Absecon NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,17.6,USGS
59,USGS:01411300,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Tuckahoe River at Head of River NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,32.25,USGS
60,USGS:01412350,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Delaware Bay at Ship John Shoal Lighthouse NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,334.44,USGS
61,USGS:01460595,canal,auto (type rule 3),tidal-marked reach; tidal influence does not retype this site,type-v1,"KEPT as canal (human review), but this reach is marked tidal. Tidally influenced?",Del & Rar Canal at Landing La at New Brunswick NJ,canal,human_review,nhd_tidal,conflict_tidal,ok,120.55,USGS
62,USGS:01463500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Delaware River at Trenton NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,167.46,USGS
63,USGS:01464000,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Assunpink Creek at Trenton NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,27.62,USGS
64,USGS:01464504,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Crosswicks Creek at Groveville Rd at Groveville NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,7.79,USGS
65,USGS:01465798,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","Poquessing Creek at Grant Ave. at Philadelphia, PA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,84.23,USGS
66,USGS:01465850,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",South Branch Rancocas Creek at Vincentown NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,42.83,USGS
67,USGS:01465900,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",SWB Rancocas C at Eayrestown NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,11.83,USGS
68,USGS:01465905,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","South Branch Rancocas Creek at Lumberton, NJ",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,16.26,USGS
69,USGS:014670261,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Delaware River at Pennypack Woods PA,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,335.65,USGS
70,USGS:01467081,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",South Branch Pennsauken Creek at Cherry Hill NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,27.39,USGS
71,USGS:01467150,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Cooper River at Haddonfield NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,25.56,USGS
72,USGS:01467200,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","Delaware River at Penn's Landing, Philadelphia, PA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,277.54,USGS
73,USGS:01473800,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","Schuylkill River at Manayunk, Philadelphia, PA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,24.96,USGS
74,USGS:01474500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","Schuylkill River at Philadelphia, PA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,91.49,USGS
