site_uid,latitude,longitude,monitoring_location_name,monitoring_location_number,agency_code,site_type,state_code,state_name,county_name,hydrologic_unit_code,drainage_area,drainage_area_source,altitude,vertical_datum,iwqis_uid,iwqis_river,iwqis_town,iwqis_description,iwqis_colloc_uid,iwqis_colloc_site_uid,iwqis_link_uid,iwqis_status,iwqis_nickname
WQS0008,43.21,-92.7503,,,IIHR,,19,Iowa,,,6.0,iwqis,,,WQS0008,Slough Creek,Orchard,"This site monitors the outflow of water from the weir of the CREP wetland on Slough Creek. The CREP wetland sites are important for demonstrating the effectiveness of constructed wetlands for the purpose reducing nitrate loads to the Cedar and Mississippi Rivers, which is a key intent of the Iowa Nutrient Reduction Strategy.",,,458644.0,discontinued,8SCCREP
WQS0009,42.9524,-91.6432,,,IIHR,,19,Iowa,,,46.0,iwqis,,,WQS0009,Otter Creek,Elgin,This site is one of three nested sites within the Otter Creek watershed that are currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects. ,,,418967.0,discontinued,9OCE
WQS0010,40.7531,-91.2756,,,IIHR,,19,Iowa,,,4312.0,iwqis,,,WQS0010,Skunk River,Augusta,"This site is located near the mouth of the Skunk River before its confluence with the Mississippi River, and is a crucial load calculation site for the Iowa Nutrient Reduction Strategy. There are several Water Quality Initiative projects funded through the Iowa Nutrient Reduction Strategy upstream of this site, along with several medium-large point source discharges. ",05474000,,273299.0,maintenance,10SRA
WQS0011,41.7305,-91.9071,,,IIHR,,19,Iowa,,,10.0,iwqis,,,WQS0011,Clear Creek,Homestead,"The Clear Creek watershed is a small (HUC10) tributary of the Lower Iowa river watershed that is highly utilized by UofI researchers due to it’s close proximity to the UofI campus. Current research projects, including funding from the Critical Zone Observatory Intensively Managed Landscapes (CZO-IML) and EPSCoR grants, provide additional water quality data sampling and resources for WQS data integration and analysis.",,,228829.0,discontinued,11CCSAC
WQS0012,43.2063,-92.7323,,,IIHR,,19,Iowa,,,5.0,iwqis,,,WQS0012,Slough Creek,Orchard,"This site monitors the inflow of water to the CREP wetland on Slough Creek. The CREP wetland sites are important for demonstrating the effectiveness of constructed wetlands for the purpose reducing nitrate loads to the Cedar and Mississippi Rivers, which is a key intent of the Iowa Nutrient Reduction Strategy.",,,458639.0,discontinued,12SCO
WQS0013,43.0668,-92.5283,,,IIHR,,19,Iowa,,,17.0,iwqis,,,WQS0013,Beaver Creek,Bassett,This site is one of two water quality monitoring sites within the Beaver Creek watershed that are currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects. ,,,445241.0,discontinued,13BCB
WQS0014,43.1342,-92.5675,,,IIHR,,19,Iowa,,,7.0,iwqis,,,WQS0014,Beaver Creek,Colwell,This site is one of two water quality monitoring sites within the Beaver Creek watershed that are currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects.,,,451321.0,discontinued,14BCC
WQS0015,42.9501,-91.7538,,,IIHR,,19,Iowa,,,26.0,iwqis,,,WQS0015,Otter Creek,Elgin,This site is one of three nested sites within the Otter Creek watershed that are currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects.,,,418943.0,discontinued,15OCEH
WQS0016,42.9472,-91.7951,,,IIHR,,19,Iowa,,,15.0,iwqis,,,WQS0016,Otter Creek,West Union,This site is one of three nested sites within the Otter Creek watershed that are currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects.,,,420407.0,discontinued,16OCWU
WQS0017,43.1334,-91.8895,,,IIHR,,19,Iowa,,,8.0,iwqis,,,WQS0017,Brockamp Creek,Fort Atkinson,,,,450023.0,discontinued,17BCFA
WQS0018,42.874,-91.3827,,,IIHR,,19,Iowa,,,116.0,iwqis,,,WQS0018,Roberts Creek,Elkader,,,,416772.0,discontinued,18RCE
