uid,editor_uid,site_uid,method_uid,param_uid,enabled,begin_datetime,end_datetime
93245,dtrs,CTZ00327,nitrateapp,nitrate_con_int,t,2019-06-28 14:42:36-05,
93246,dtrs,CTZ00328,nitrateapp,nitrate_con_int,t,2019-07-01 07:27:39-05,
93247,dtrs,CTZ00329,nitrateapp,nitrate_con_int,t,2019-07-13 13:15:40-05,
93248,dtrs,CTZ00330,nitrateapp,nitrate_con_int,t,2019-07-24 16:53:22-05,
93262,dtrs,CTZ00331,nitrateapp,nitrate_con_int,t,2019-10-17 14:32:24-05,
93263,dtrs,CTZ00332,nitrateapp,nitrate_con_int,t,2019-10-27 15:08:10-05,
93264,dtrs,CTZ00333,nitrateapp,nitrate_con_int,t,2019-10-27 17:03:11-05,
93261,iihr,SCN0001,dts12,temp_water,t,,
93258,iihr,SCN0001,dts12,turbi_bes,t,,
93260,iihr,SCN0001,dts12,turbi_max,t,,
93265,iihr,SCN0002,dts12,turbi_min,t,,
93257,iihr,SCN0001,dts12,turbi_med,t,,
93259,iihr,SCN0001,dts12,turbi_min,t,,
93266,iihr,SCN0002,dts12,turbi_max,t,,
93267,iihr,SCN0002,dts12,temp_water,t,,
93269,iihr,SCNOOO1,dts12,turbi_var,t,,
93270,iihr,SCNOOO1,dts12,turbi_bes,t,,
93271,iihr,SCNOOO1,dts12,turbi_min,t,,
93272,iihr,SCNOOO1,dts12,turbi_max,t,,
93273,iihr,SCNOOO1,dts12,temp_water,t,,
93274,iihr,SCN0001,dts12,turbi_mean,t,,
93275,iihr,SCN0002,dts12,turbi_var,t,,
93276,iihr,SCN0002,dts12,turbi_bes,t,,
93277,iihr,WQS0101,nitratax,nitrate_con,t,,
93278,iihr,WQS0101,nitratax,r_exc,t,,
93279,iihr,WQS0101,nitratax,m_exc,t,,
93280,iihr,WQS0102,nitratax,nitrate_con,t,,
93281,iihr,WQS0102,nitratax,r_exc,t,,
93282,iihr,WQS0102,nitratax,m_exc,t,,
93283,iihr,WQS0103,nitratax,nitrate_con,t,,
93284,iihr,WQS0103,nitratax,r_exc,t,,
93285,iihr,WQS0103,nitratax,m_exc,t,,
93286,iihr,WQS0098,dts12,turbi_mean,t,,
93287,iihr,WQS0098,dts12,turbi_var,t,,
93288,iihr,WQS0098,dts12,turbi_med,t,,
93289,iihr,WQS0098,dts12,turbi_bes,t,,
93290,iihr,WQS0098,dts12,turbi_min,t,,
93291,iihr,WQS0098,dts12,turbi_max,t,,
93292,iihr,WQS0098,dts12,temp_water,t,,
93293,iihr,WQS0100,dts12,turbi_mean,t,,
93294,iihr,WQS0100,dts12,turbi_var,t,,
93295,iihr,WQS0100,dts12,turbi_med,t,,
93296,iihr,WQS0100,dts12,turbi_bes,t,,
93297,iihr,WQS0100,dts12,turbi_min,t,,
93298,iihr,WQS0100,dts12,turbi_max,t,,
93300,iihr,WQS0097,dts12,turbi_mean,t,,
93301,iihr,WQS0097,dts12,turbi_var,t,,
93302,iihr,WQS0097,dts12,turbi_med,t,,
93303,iihr,WQS0097,dts12,turbi_bes,t,,
93304,iihr,WQS0097,dts12,turbi_min,t,,
93305,iihr,WQS0097,dts12,turbi_max,t,,
93306,iihr,WQS0097,dts12,temp_water,t,,
93253,iihr,WQS0092,dts12,turbi_min,t,,
93299,iihr,WQS0100,dts12,temp_water,t,,
93307,iihr,WQS0099,dts12,turbi_var,t,,
93308,iihr,WQS0099,dts12,temp_water,t,,
93309,iihr,WQS0095,dts12,turbi_mean,t,,
93310,iihr,WQS0095,dts12,turbi_var,t,,
93311,iihr,WQS0095,dts12,turbi_med,t,,
93312,iihr,WQS0095,dts12,turbi_bes,t,,
93313,iihr,WQS0095,dts12,turbi_min,t,,
93314,iihr,WQS0095,dts12,turbi_max,t,,
93316,iihr,WQS0099,dts12,turbi_mean,t,,
93317,iihr,WQS0099,dts12,turbi_bes,t,,
93318,iihr,WQS0099,dts12,turbi_max,t,,
93319,iihr,WQS0099,dts12,turbi_med,t,,
93320,iihr,WQS0099,dts12,turbi_min,t,,
93250,iihr,WQS0092,dts12,turbi_var,t,,
93321,iihr,WQS0093,dts12,turbi_mean,t,,
93322,iihr,WQS0093,dts12,turbi_var,t,,
93323,iihr,WQS0093,dts12,turbi_med,t,,
93324,iihr,WQS0093,dts12,turbi_bes,t,,
93325,iihr,WQS0093,dts12,turbi_min,t,,
93326,iihr,WQS0093,dts12,turbi_max,t,,
93327,iihr,WQS0093,dts12,temp_water,t,,
93328,iihr,WQS0094,dts12,turbi_mean,t,,
93329,iihr,WQS0094,dts12,turbi_var,t,,
93330,iihr,WQS0094,dts12,turbi_med,t,,
93331,iihr,WQS0094,dts12,turbi_bes,t,,
93332,iihr,WQS0094,dts12,turbi_min,t,,
93335,iihr,UNKNOWN,ds5x,temp_water,t,,
93336,iihr,WQS0105,dts12,turbi_mean,t,,
93255,iihr,WQS0092,dts12,temp_water,t,,
93249,iihr,WQS0092,dts12,turbi_mean,t,,
93252,iihr,WQS0092,dts12,turbi_bes,t,,
93254,iihr,WQS0092,dts12,turbi_max,t,,
93251,iihr,WQS0092,dts12,turbi_med,t,,
93333,iihr,WQS0094,dts12,turbi_max,t,,
93334,iihr,WQS0094,dts12,temp_water,t,,
93337,iihr,WQS0105,dts12,turbi_var,t,,
93338,iihr,WQS0105,dts12,turbi_bes,t,,
93339,iihr,WQS0105,dts12,turbi_min,t,,
93340,iihr,WQS0105,dts12,turbi_max,t,,
93341,iihr,WQS0105,dts12,temp_water,t,,
93342,iihr,WQS0106,dts12,turbi_mean,t,,
93343,iihr,WQS0106,dts12,turbi_var,t,,
93344,iihr,WQS0106,dts12,turbi_med,t,,
93345,iihr,WQS0106,dts12,turbi_bes,t,,
93347,iihr,WQS0106,dts12,turbi_max,t,,
93348,iihr,WQS0106,dts12,temp_water,t,,
93349,iihr,WQS0105,dts12,turbi_med,t,,
93350,iihr,WQS0108,nitratax,nitrate_con,t,,
93351,iihr,WQS0108,nitratax,r_exc,t,,
93352,iihr,WQS0108,nitratax,m_exc,t,,
93353,iihr,WQS0107,nitratax,nitrate_con,t,,
93354,iihr,WQS0107,nitratax,r_exc,t,,
93355,iihr,WQS0107,nitratax,m_exc,t,,
93356,iihr,ARS0001,nitratax,r_exc,t,,
93357,iihr,ARS0001,nitratax,m_exc,t,,
93358,iihr,ARS0001,nitratax,nitrate_con,t,,
93359,iihr,WQS0069,ds5x,chloro_v,t,,
93360,iihr,WQS0109,nitratax,nitrate_con,t,,
93361,iihr,WQS0109,nitratax,r_exc,t,,
93362,iihr,WQS0109,nitratax,m_exc,t,,
93363,iihr,WQS0104,nitratax,nitrate_con,t,,
93364,iihr,WQS0104,nitratax,r_exc,t,,
93365,iihr,WQS0104,nitratax,m_exc,t,,
93366,iihr,WW00001,nitratax,nitrate_con,t,,
93367,iihr,WW00001,nitratax,r_exc,t,,
93368,iihr,WW00001,nitratax,m_exc,t,,
93369,iihr,WW00001,ds5x,temp_water,t,,
93370,iihr,WW00001,ds5x,ph,t,,
93371,iihr,WW00001,ds5x,spec_cond,t,,
93373,iihr,WW00001,ds5x,diss_oxy_sat,t,,
93447,dtrs,CTZ00356,nitrateapp,nitrate_con_int,t,2021-05-10 16:15:39-05,
93448,iihr,WQS0110,dts12,turbi_mean,t,,
93374,iihr,WW00001,ds5x,chloro_con,t,,
93375,iihr,WQS0012,ds5xv2,temp_water,t,,
93376,iihr,WW00002,nitratax,nitrate_con,t,,
93377,iihr,WW00002,nitratax,r_exc,t,,
93378,iihr,WW00002,nitratax,m_exc,t,,
93379,iihr,WW00002,ds5x,temp_water,t,,
93380,iihr,WW00002,ds5x,ph,t,,
93381,iihr,WW00002,ds5x,spec_cond,t,,
93382,iihr,WW00002,ds5x,diss_oxy_con,t,,
93383,iihr,WW00002,ds5x,diss_oxy_sat,t,,
93384,iihr,WW00002,ds5x,chloro_con,t,,
93385,usgs,WQS0033,usgs.00400,ph,t,,
93386,usgs,WQS0033,usgs.63680,turbi_mean,t,,
93449,iihr,WQS0110,dts12,turbi_var,t,,
93372,iihr,WW00001,ds5x,diss_oxy_con,t,,
93387,iihr,WQS0031,dts12,turbi_mean,t,,
93388,iihr,WQS0031,dts12,turbi_var,t,,
93389,iihr,WQS0031,dts12,turbi_med,t,,
93390,iihr,WQS0031,dts12,turbi_bes,t,,
93391,iihr,WQS0031,dts12,turbi_min,t,,
93392,iihr,WQS0031,dts12,turbi_max,t,,
93393,iihr,WQS0031,dts12,temp_water,t,,
93315,iihr,WQS0095,dts12,temp_water,t,,
93394,iihr,WQS0096,dts12,turbi_mean,t,,
93395,iihr,WQS0096,dts12,turbi_var,t,,
93396,iihr,WQS0096,dts12,turbi_med,t,,
93397,iihr,WQS0096,dts12,turbi_bes,t,,
93398,iihr,WQS0096,dts12,turbi_min,t,,
93399,iihr,WQS0096,dts12,turbi_max,t,,
93400,iihr,WQS0096,dts12,temp_water,t,,
93401,iihr,WQS0102,dts12,turbi_mean,t,,
93402,iihr,WQS0102,dts12,turbi_var,t,,
93403,iihr,WQS0102,dts12,turbi_med,t,,
93404,iihr,WQS0102,dts12,turbi_bes,t,,
93405,iihr,WQS0102,dts12,turbi_min,t,,
93406,iihr,WQS0102,dts12,turbi_max,t,,
93407,iihr,WQS0102,dts12,temp_water,t,,
93408,iihr,WQP0001,dts12,turbi_mean,t,,
93409,iihr,WQP0001,dts12,turbi_var,t,,
93410,iihr,WQP0001,dts12,turbi_med,t,,
93411,iihr,WQP0001,dts12,turbi_bes,t,,
93412,iihr,WQP0001,dts12,turbi_min,t,,
93413,iihr,WQP0001,dts12,turbi_max,t,,
93414,iihr,WQP0001,dts12,temp_water,t,,
93415,iihr,WW00002,ds5xv2,temp_water,t,,
93416,iihr,WW00002,ds5xv2,ph,t,,
93417,iihr,WW00002,ds5xv2,spec_cond,t,,
93418,iihr,WW00002,ds5xv2,diss_oxy_con,t,,
93419,iihr,WW00002,ds5xv2,diss_oxy_sat,t,,
93420,iihr,WW00002,ds5xv2,turbi_mean,t,,
93421,iihr,WW00002,ds5x,chloro_v,t,,
93422,dtrs,CTZ00334,nitrateapp,nitrate_con_int,t,2020-05-19 18:43:29-05,
93423,dtrs,CTZ00335,nitrateapp,nitrate_con_int,t,2020-05-30 14:23:49-05,
93424,dtrs,CTZ00336,nitrateapp,nitrate_con_int,t,2020-05-30 19:00:03-05,
93425,dtrs,CTZ00337,nitrateapp,nitrate_con_int,t,2020-05-30 19:33:34-05,
93426,dtrs,CTZ00338,nitrateapp,nitrate_con_int,t,2020-07-17 13:32:42-05,
93427,dtrs,CTZ00339,nitrateapp,nitrate_con_int,t,2020-07-17 14:02:42-05,
93428,dtrs,CTZ00340,nitrateapp,nitrate_con_int,t,2020-07-17 14:48:00-05,
